,revenue,pred,,,
58,6278139,47972031.32,6.797830927,7.680988109,-0.883157182
59,70100000,60673354.17,7.845718018,7.782998004,0.062720014
60,14702438,21278500.45,7.167389357,7.327941019,-0.160551662
61,9851610,57771245.32,6.993507211,7.761711729,-0.768204518
62,209935,24558215.09,5.322084849,7.390196799,-2.068111949
63,185260553,61427694.63,8.267782956,7.788364217,0.479418739
64,141407024,111712099.2,8.150470982,8.048100213,0.10237077
65,851545,57182844.23,5.930207603,7.757265753,-1.82705815
66,355237933,260848200.9,8.550519334,8.416387846,0.134131489
67,31596911,70588065.6,7.499644627,7.848731281,-0.349086654
68,336529144,209525343.1,8.527022681,8.321236561,0.20578612
69,1275000,33118335.39,6.105510185,7.5200685,-1.414558315
70,178104,,5.250673673,#NUM!,#NUM!
71,287928194,171290320.1,8.459284193,8.233732821,0.225551372
72,13071518,39117191.46,7.116326025,7.592367666,-0.47604164
73,152022101,126416129.6,8.18190673,8.10180249,0.080104241
74,157387195,127083183.1,8.196969395,8.104088084,0.092881311
75,3174695,45893912.03,6.501702008,7.661755079,-1.160053071
76,25405445,83552721.31,7.404926806,7.921960599,-0.517033793
77,16140822,35959335.48,7.207925648,7.555811657,-0.347886009
78,366101666,159432352.9,8.563601705,8.202576455,0.36102525
79,127600435,92166698.87,8.105852155,7.964574033,0.141278122
80,7563728,82947836.13,6.878735903,7.918805061,-1.040069158
81,19075720,73640819.9,7.280480939,7.867118615,-0.586637676
82,113493481,110765428.7,8.054970917,8.044404233,0.010566684
83,17014653,26764729.7,7.230823096,7.427562862,-0.196739765
84,7412216,72627677.2,6.869948067,7.861102155,-0.991154088
85,1148752,68268371.98,6.060226281,7.834219546,-1.773993266
86,15453274,50514993.2,7.189020505,7.703420299,-0.514399794
87,2122561,68506334.98,6.32686018,7.835730734,-1.508870554
88,66000000,115530256.1,7.819543936,8.062695736,-0.2431518
89,1,57001027.04,0,7.755882681,-7.755882681
90,110627965,116161728.9,8.043864924,8.065063067,-0.021198144
91,69660733,94911858.99,7.84298804,7.97732048,-0.13433244
92,472370,57528785.14,5.674282308,7.759885203,-2.085602895
93,16,56369595.31,1.204119983,7.751044917,-6.546924934
94,10382407,79958003.91,7.01629805,7.902861944,-0.886563894
95,20350754,52534802.9,7.308580505,7.720447107,-0.411866603
96,8349430,39171444.82,6.921656828,7.592969591,-0.671312763
97,50892160,62059329.18,7.706650884,7.792807077,-0.086156193
98,113374103,117666779.6,8.054513864,8.070653867,-0.016140003
99,7959291,74911229.38,6.900874383,7.874546924,-0.973672541
100,5780000,,6.761927838,#NUM!,#NUM!
101,7025496,46052489.65,6.846676991,7.663253114,-0.816576123
102,339889,75781335.53,5.53133711,7.879562255,-2.348225145
103,47774193,47552414.11,7.67919336,7.67717257,0.00202079
104,104324083,126583005.4,8.018384576,8.102375403,-0.083990827
105,50012507,55016909.29,7.699078625,7.740496189,-0.041417564
106,264218220,145922842.2,8.421962762,8.16412328,0.257839483
107,2616503,63649624.37,6.417721237,7.803795845,-1.386074608
108,763847,76242838.86,5.883006377,7.882199059,-1.999192681
109,5535405,77372842.82,6.743149402,7.888588554,-1.145439152
110,26488734,44395217.73,7.423061202,7.64733619,-0.224274988
111,23450000,66768674.46,7.370142847,7.824572754,-0.454429907
112,3151130,100401813,6.49846632,8.001741555,-1.503275235
113,22200000,55909991.95,7.346352974,7.74748943,-0.401136455
114,214015089,89691322.27,8.330444394,7.952750427,0.377693967
115,247275374,149890566.9,8.393180867,8.175774302,0.217406565
116,7294403,73029507.35,6.862989753,7.863498371,-1.000508617
117,6841570,86677352.63,6.835155775,7.937905638,-1.102749863
118,5887457,60250496.37,6.769927748,7.779960629,-1.010032881
119,35348597,64521685.86,7.548372181,7.809705706,-0.261333525
120,12201255,66259506.72,7.086404504,7.821248198,-0.734843695
121,3992809,63144817.2,6.601278536,7.80033771,-1.199059175
122,7830611,41400902.64,6.89379565,7.61700981,-0.72321416
123,3049135,53435297.87,6.484176653,7.727828235,-1.243651582
124,26325256,,7.420372603,#NUM!,#NUM!
125,17689177,61469743.09,7.247707628,7.788661398,-0.54095377
126,223664608,147732059,8.349597268,8.169474751,0.180122517
127,2474000,93577862.56,6.393399695,7.971173121,-1.577773426
128,37000000,66418589.18,7.568201724,7.822289646,-0.254087922
129,775398007,428305328.4,8.88952468,8.631753477,0.257771203
130,21665468,57439412.06,7.335768075,7.759209986,-0.423441911
131,160638883,97027540.24,8.205850676,7.986895022,0.218955654
132,7603766,75271631.88,6.881028743,7.876631332,-0.995602588
133,112006296,95109299.95,8.049242436,7.978222985,0.07101945
134,18137661,48414591.48,7.258581281,7.684976272,-0.426394991
135,46264384,90078516.53,7.665246784,7.954621225,-0.289374441
136,5,,0.698970004,#NUM!,#NUM!
137,17381942,52017591.69,7.240098296,7.716150241,-0.476051945
138,106683817,93282976.15,8.028098546,7.969802394,0.058296152
139,50282766,73511857.56,7.70141916,7.866357397,-0.164938237
140,2201126,53879813.42,6.342644904,7.731426083,-1.388781179
141,189859560,183449051.9,8.27843247,8.263515472,0.014916998
142,45284974,76215258.77,7.655954123,7.882041929,-0.226087806
143,2832826,53178120.74,6.4522199,7.725732986,-1.273513086
144,213928762,117942467.1,8.330269178,8.071670208,0.25859897
145,6834525,11017262.5,6.834708336,7.042073697,-0.207365361
146,152322,,5.182762633,#NUM!,#NUM!
147,4176932,74084099.97,6.620857405,7.869725009,-1.248867604
148,18552460,72909563.07,7.268401504,7.862784496,-0.594382992
149,12400000,67981252.8,7.093421685,7.832389164,-0.738967479
150,11300653,57056475.88,7.05310354,7.756304944,-0.703201404
151,9771658,109755499.6,6.989968259,8.040426291,-1.050458032
152,170362582,177500482,8.231374214,8.249199537,-0.017825323
153,196567262,208874252.2,8.293511188,8.319884908,-0.02637372
154,189833357,126392946,8.278372528,8.101722837,0.176649691
155,28341469,68401081.69,7.452422357,7.83506297,-0.382640613
156,102780,45949352.77,5.011908613,7.662279398,-2.650370785
157,4064495,82500632.35,6.609006594,7.916457277,-1.307450684
158,120000000,94213248.59,8.079181246,7.974111979,0.105069267
159,12000000,49630190.3,7.079181246,7.69574594,-0.616564694
160,32648673,,7.513865534,#NUM!,#NUM!
161,10032765,62881975.02,7.00142064,7.798526174,-0.797105534
162,24048000,130539327.1,7.381078963,8.11574137,-0.734662407
163,182057016,95134732.53,8.26020742,7.978339101,0.281868319
164,759393,76871885.69,5.88046659,7.885767535,-2.005300945
165,15119639,76137451.2,7.179541422,7.881598334,-0.702056912
166,107217396,83620129.78,8.030265255,7.922310837,0.107954418
167,11220670,41119429.5,7.05001879,7.614047081,-0.564028291
168,1862805,52113895.98,6.270167395,7.716953542,-1.446786147
169,215887717,121950105,8.334227934,8.086182178,0.248045755
170,117615211,71292276.52,8.070463492,7.853042483,0.217421009
171,94000000,97619414.11,7.973127854,7.989536197,-0.016408343
172,1007583,46646562.2,6.003280831,7.668819642,-1.665538811
173,341631208,133052113.5,8.533557537,8.124021778,0.409535759
174,677945399,208909190.1,8.831194718,8.319957546,0.511237172
175,254700832,105494348.9,8.406030364,8.023229196,0.382801168
176,38290723,46463092.8,7.583093567,7.667108115,-0.084014548
177,1777020,35761441.01,6.249692316,7.55341501,-1.303722695
178,61947267,60709585.51,7.792022151,7.783257268,0.008764883
179,449707,79691155.92,5.652929648,7.901410126,-2.248480479
180,788241776,371068220.1,8.896659448,8.569453761,0.327205687
181,4858139,26434542.03,6.686469937,7.422171791,-0.735701854
182,18090181,66177075.43,7.257442912,7.82070757,-0.563264658
183,351583407,178204558.9,8.54602837,8.25091881,0.29510956
184,51132598,91924332.85,7.708697859,7.963430487,-0.254732627
185,20079850,89397778.59,7.302760464,7.951326727,-0.648566263
186,2000000,51324500.11,6.301029996,7.710324728,-1.409294732
187,350448145,91419990.22,8.544623766,7.96104117,0.583582595
188,101646581,86197272.13,8.007092775,7.935493522,0.071599253
189,378882411,212436861.6,8.578504444,8.327229877,0.251274567
190,50021959,65193642.22,7.699160696,7.814205245,-0.115044549
191,25052000,52776764.58,7.398842403,7.722442763,-0.32360036
192,953,46430857.05,2.979092901,7.6668067,-4.6877138
193,29392418,65349347.96,7.468235315,7.815241259,-0.347005943
194,20851521,48935801.14,7.31913774,7.689626703,-0.370488963
195,99423521,78915585.9,7.997489139,7.897162785,0.100326354
196,36800000,72047180.45,7.565847819,7.857616989,-0.291769171
197,8946600,50875198.81,6.951658021,7.706506119,-0.754848099
198,48919043,81550851.93,7.689477952,7.911428502,-0.22195055
199,32255440,67623130.67,7.508602971,7.830095273,-0.321492302
200,21011500,50091503.33,7.322457058,7.699764066,-0.377307008
201,15240435,54240625.49,7.182997363,7.734324689,-0.551327326
202,119208989,113275272,8.076309005,8.054135114,0.022173891
203,16668552,103779053.2,7.221897874,8.016109704,-0.79421183
204,30156002,81298973.01,7.479373763,7.910085059,-0.430711296
205,428868,87175211.02,5.632323643,7.940393007,-2.308069365
206,1796389,52847415.59,6.254400387,7.723023754,-1.468623367
207,17287898,50277280.44,7.237742192,7.701371778,-0.463629587
208,3662459,,6.563772772,#NUM!,#NUM!
209,2570145,47697767,6.409957626,7.678498048,-1.268540422
210,36516012,45545077.68,7.562483341,7.658441447,-0.095958106
211,7355425,,6.866607772,#NUM!,#NUM!
212,255000211,133936668.2,8.40654054,8.126899491,0.279641049
213,19726050,63362565.61,7.29504013,7.801832754,-0.506792624
214,63000000,80759761.68,7.799340549,7.907195029,-0.107854479
215,7993039,65261097.32,6.902711932,7.814654372,-0.91194244
216,159055768,118315394.4,8.201549423,8.073041256,0.128508167
217,9488998,59682333.55,6.977220355,7.775845796,-0.79862544
218,11146270,48684941.26,7.047129559,7.68739465,-0.640265091
219,270248367,199754285.3,8.431763078,8.300496105,0.131266974
220,153698625,116595439.3,8.186669982,8.066681563,0.119988419
221,368875760,130344927.9,8.566880117,8.115094136,0.451785981
222,18635620,53100177.67,7.270343846,7.725095974,-0.454752128
223,30,2064376.8,1.477121255,6.31478897,-4.837667715
224,22886222,,7.359574106,#NUM!,#NUM!
225,74189677,65780591.24,7.87034348,7.818097773,0.052245708
226,133752825,117974451.8,8.126302964,8.071787968,0.054514996
227,28881266,77273774.27,7.460616226,7.888032125,-0.427415898
228,176997168,110431996.5,8.247966318,8.043094924,0.204871394
229,65796862,95561453.79,7.818205182,7.980282748,-0.162077566
230,8880705,,6.948447444,#NUM!,#NUM!
231,12136938,83476465.88,7.084109133,7.921564054,-0.837454921
232,920100000,538006745.4,8.963835031,8.730787721,0.23304731
233,2395231,61368626.25,6.379347404,7.787946402,-1.408598998
234,418961,52979520.84,5.622173597,7.724108026,-2.101934429
235,137298489,128600167,8.137665758,8.109241533,0.028424225
236,1499795,120580616.6,6.176031901,8.0812775,-1.905245599
237,46405336,66659630.83,7.666567922,7.823862904,-0.157294983
238,24760338,107193529.5,7.393756569,8.030168571,-0.636412002
239,11285588,59576972.14,7.052524192,7.775078427,-0.722554236
240,27900000,55458839.96,7.445604203,7.743970781,-0.298366578
241,121969216,105481697.1,8.086250232,8.023177109,0.063073124
242,441286195,108827515.8,8.644720341,8.036738716,0.607981626
243,15826984,63016274.37,7.199398163,7.799452723,-0.60005456
244,15340000,97752896.41,7.18582536,7.990129634,-0.804304275
245,135130999,108206405,8.130754987,8.034252968,0.096502019
246,206678440,109522153.7,8.315295175,8.039501975,0.2757932
247,116700000,67965957.28,8.067070856,7.832291438,0.234779418
248,27515786,100807411.6,7.439581923,8.003492464,-0.563910541
249,23042200,59000006,7.362523942,7.770852056,-0.408328114
250,8638072,,6.93641682,#NUM!,#NUM!
251,11439193,82351811.18,7.058395387,7.915673155,-0.857277768
252,23237911,41354672.8,7.366197084,7.616524589,-0.250327505
253,24332324,77147124.74,7.386183591,7.887319745,-0.501136154
254,107198790,68801929.27,8.030189883,7.837600616,0.192589267
255,10696210,108369590.1,7.029229921,8.034907431,-1.00567751
256,35739755,136931639.5,7.553151571,8.136503808,-0.583352237
257,3275585,60934081.38,6.515288874,7.784860268,-1.269571395
258,1001437,6291493.261,6.000623633,6.798753736,-0.798130103
259,22750363,65303288.15,7.356988331,7.814935049,-0.457946719
260,321365567,119699141.7,8.506999342,8.078091036,0.428908306
261,7266383,46242480,6.861318285,7.665041117,-0.803722832
262,7820688,45204436.44,6.89324496,7.655181059,-0.761936099
263,48063435,146519204.3,7.681814806,8.165894552,-0.484079746
264,6110979,57918350.67,6.786110791,7.762816186,-0.976705395
265,7770731,43314771.62,6.890461875,7.636636029,-0.746174154
266,227799884,105830650,8.357553499,8.024611464,0.332942035
267,116300000,102156335.8,8.065579715,8.009265307,0.056314408
268,33139618,78293133.78,7.520347498,7.893723677,-0.373376179
269,36448200,56691713.34,7.561676085,7.753519582,-0.191843497
270,11585483,41602886.56,7.063914144,7.619123465,-0.55520932
271,20915465,141719864.3,7.320467524,8.151430728,-0.830963203
272,7690013,49251021.6,6.885927074,7.692415243,-0.806488169
273,16478900,65143595.76,7.216928218,7.813871727,-0.596943509
274,75634409,135077461.8,7.878719418,8.130582891,-0.251863474
275,53898845,80061327.52,7.731579459,7.903422787,-0.171843328
276,56505065,60448745.61,7.752087379,7.781387293,-0.029299914
277,12281551,73231033.4,7.089253216,7.864695163,-0.775441947
278,13670688,100499707.8,7.135790372,8.002164799,-0.866374428
279,1596687,78826498.6,6.203219789,7.896672236,-1.693452447
280,67308282,102644146.7,7.828068506,8.011334189,-0.183265683
281,3021629,,6.48024114,#NUM!,#NUM!
282,476684675,251852338.9,8.67823119,8.401145988,0.277085202
283,505000000,265743995.4,8.703291378,8.42446346,0.278827918
284,504050219,214211285.5,8.702473808,8.330842347,0.37163146
285,520000000,183549033.9,8.716003344,8.263752103,0.452251241
286,424208848,81313603.98,8.627579723,7.91016321,0.717416512
287,411348924,291838875.1,8.614210366,8.465143143,0.149067223
288,272742922,94379927.09,8.435753489,7.974879637,0.460873851
289,184925486,131156683.4,8.266996769,8.117790426,0.149206343
290,377350553,202465823.6,8.576744991,8.306351724,0.270393266
291,84300000,104042826.9,7.925827575,8.017212144,-0.091384569
292,463000000,140267526.2,8.665580991,8.146957138,0.518623853
293,638641,70052598.33,5.805256796,7.845424248,-2.040167452
294,97529550,64435942.26,7.98913622,7.809128184,0.180008037
295,13940383,82117501.98,7.144274706,7.91443573,-0.770161024
296,60611975,66582945.86,7.782558435,7.823363006,-0.040804571
297,32709423,,7.514672883,#NUM!,#NUM!
298,16675000,49505338.8,7.222065843,7.694652037,-0.472586194
299,55675257,60680651.49,7.74566223,7.783050235,-0.037388004
300,442965,40091744.85,5.646369413,7.603054958,-1.956685545
301,102616183,60366997.72,8.011215856,7.780799577,0.230416279
302,8620678,87407916.3,6.935541424,7.941550767,-1.006009344
303,218626,83060942.43,5.339701809,7.919396854,-2.579695045
304,4939939,31793457.56,6.693721586,7.50233776,-0.808616174
305,65335,39395529.94,4.815145895,7.595446947,-2.780301051
306,100860818,141863270.9,8.003722486,8.151869969,-0.148147483
307,457696359,184621595.4,8.660577458,8.2662825,0.394294958
308,115267375,140782171.6,8.061706403,8.14854766,-0.086841257
309,28921264,121236114.3,7.46121727,8.083632009,-0.622414739
310,9789900,89836745.28,6.990778256,7.953454009,-0.962675754
311,684351,27000671.69,5.835278906,7.431374568,-1.596095662
312,536364,62440782.7,5.729459621,7.795468338,-2.066008717
313,16000,48819831.51,4.204119983,7.688596276,-3.484476294
314,250200000,208794443.5,8.398287305,8.319718937,0.078568368
315,2500000,102687485.6,6.397940009,8.01151752,-1.613577511
316,10070000,29755732.44,7.003029471,7.473570645,-0.470541174
317,62949,65800157.07,4.798988835,7.81822693,-3.019238095
318,57400547,79816184.05,7.758916031,7.902090961,-0.14317493
319,74151346,64846489.45,7.870119039,7.81188647,0.058232569
320,20080020,96604399.27,7.302764141,7.984996904,-0.682232763
321,15000000,67993846.64,7.176091259,7.832469611,-0.656378352
322,24769466,105193215.4,7.393916644,8.02198773,-0.628071086
323,5,,0.698970004,#NUM!,#NUM!
324,3014000,64479188.75,6.479143248,7.809419565,-1.330276317
325,335062621,116560785.5,8.525125981,8.066552465,0.458573516
326,494471524,209155964.3,8.694141286,8.320470253,0.373671033
327,3793614,23295086.69,6.579053139,7.367264331,-0.788211192
328,2287714,141492578.2,6.35940173,8.15073366,-1.79133193
329,14048372,93705509.67,7.147625999,7.971765127,-0.824139128
330,9440272,65819007.34,6.974984508,7.818351328,-0.84336682
331,17300889,134343370.6,7.23806842,8.12821624,-0.890147821
332,113309743,74871836.03,8.054267255,7.874318483,0.179948771
333,58620973,91744047.71,7.768053023,7.962577897,-0.194524874
334,1814290,25343355.49,6.258706707,7.403864116,-1.145157409
335,16491080,41410158.38,7.217249098,7.617106892,-0.399857793
336,816969268,201909237.4,8.91220572,8.305156189,0.607049531
337,18626419,42307914.78,7.270129368,7.626421621,-0.356292253
338,100138851,102393395.8,8.000602604,8.010271946,-0.009669342
339,102825796,75749432.65,8.01210208,7.879379384,0.132722696
340,25023434,29825135.08,7.398346908,7.474582419,-0.076235511
341,242295562,138222574.4,8.384345459,8.140578977,0.243766482
342,128769345,151707082.2,8.109812487,8.181005856,-0.071193369
343,65352,,4.815258883,#NUM!,#NUM!
344,159212469,136011087.3,8.201977077,8.133574313,0.068402765
345,29359216,73324276.8,7.467744454,7.865247788,-0.397503334
346,13269963,56298733.6,7.122869712,7.750498626,-0.627628914
347,152036382,103720001.7,8.181947526,8.015862515,0.166085011
348,9482579,68853363.11,6.97692647,7.837925158,-0.860998688
349,152266007,75015174.29,8.182602959,7.875149123,0.307453836
350,665450,39079515.29,5.823115429,7.591949168,-1.768833739
351,17193231,56232926.43,7.235357498,7.749990685,-0.514633187
352,4619014,36133731.03,6.664549279,7.557912807,-0.893363529
353,116400000,58732243.19,8.06595298,7.768876588,0.297076392
354,309492681,113906639,8.490650383,8.056549038,0.434101345
355,21302121,63067895.33,7.328422847,7.799808338,-0.471385491
356,258263,52671020.22,5.412062192,7.721571731,-2.309509539
357,60209334,144346473.5,7.779663823,8.159406178,-0.379742355
358,33459416,56572653.5,7.524518357,7.752606549,-0.228088193
359,22231658,81313603.98,7.346971853,7.91016321,-0.563191357
360,17917287,50967519.59,7.25327225,7.707293499,-0.454021248
361,5600000,44629579.26,6.748188027,7.649622793,-0.901434766
362,12643776,38599813.5,7.101876793,7.586585206,-0.484708413
363,42277365,77999651.98,7.626107911,7.892092665,-0.265984754
364,3011195,38668890.2,6.478738881,7.587361708,-1.108622827
365,53854588,54135819.03,7.731222708,7.733484712,-0.002262004
366,300000,28633724.97,5.477121255,7.456877849,-1.979756594
367,245066411,109001256.4,8.389283791,8.037431504,0.351852287
368,20483423,61451034.2,7.311402534,7.788529196,-0.477126663
369,431326,45661734.37,5.634805638,7.659552403,-2.024746765
370,7011317,51640156.55,6.845799603,7.71298755,-0.867187947
371,33956608,73899398.07,7.530924301,7.868640901,-0.3377166
372,49627779,100540269.2,7.69572484,8.002340044,-0.306615204
373,22611954,78801540.06,7.354338093,7.896534705,-0.542196612
374,15116634,50888458.91,7.179455098,7.706619299,-0.527164201
375,7200000,37384317.59,6.857332496,7.572689458,-0.715356961
376,4500000,74251886.77,6.653212514,7.870707494,-1.21749498
377,9500000,74866730.41,6.977723605,7.874288867,-0.896565262
378,28000000,94783329.5,7.447158031,7.97673196,-0.529573929
379,36764313,44304277.57,7.565426455,7.646445659,-0.081019204
380,4500000,56054353.22,6.653212514,7.748609346,-1.095396832
381,13275000,112740907.4,7.12303453,8.052081526,-0.929046996
382,25000000,73665225.45,7.397940009,7.867262522,-0.469322514
383,25000000,45217586.91,7.397940009,7.655307382,-0.257367373
384,13474588,73577418.55,7.129515495,7.866744547,-0.737229052
385,10462500,69971518.05,7.019635471,7.844921296,-0.825285825
386,1000000,38184071.83,6,7.581882238,-1.581882238
387,72070731,104748327.4,7.857758927,8.020147097,-0.16238817
388,10000000,54790651.19,7,7.738706462,-0.738706462
389,12000000,95546248.51,7.079181246,7.98021364,-0.901032394
390,33754967,119020887,7.528337688,8.075623182,-0.547285495
391,400176459,153292125.8,8.602251537,8.185519847,0.41673169
392,5000000,46646141.58,6.698970004,7.668815726,-0.969845722
393,23217674,87828497.11,7.365818709,7.943635451,-0.577816742
394,68700000,147570931.3,7.836956737,8.169000818,-0.332044081
395,63463,37809113.22,4.802520598,7.577596492,-2.775075893
396,2270000,54499082.85,6.356025857,7.736389194,-1.380363337
397,6000000,49429843.02,6.77815125,7.693989231,-0.915837981
398,24464742,85880963.98,7.38854064,7.933896911,-0.54535627
399,7000000,76408384.85,6.84509804,7.883141019,-1.038042979
400,8750000,106938546.1,6.942008053,8.029134275,-1.087126222
401,2279000,51030635.62,6.357744325,7.707830978,-1.350086653
402,3981000,158074181.3,6.599992178,8.198860941,-1.598868764
403,2000000,74787364.45,6.301029996,7.873828229,-1.572798233
404,3202000,65433605.8,6.505421328,7.815800853,-1.310379526
405,35000000,58245832.26,7.544068044,7.765264855,-0.221196811
406,5,91471114.07,0.698970004,7.961283969,-7.262313964
407,1423000,76881311.61,6.1532049,7.885820784,-1.732615884
408,42000000,69725693.02,7.62324929,7.84339284,-0.220143549
409,9644124,69502097.08,6.984262786,7.841997909,-0.857735123
410,9600000,87986924.87,6.982271233,7.944418139,-0.962146906
411,30000000,70432349.59,7.477121255,7.847772177,-0.370650922
412,10750000,88976947.06,7.031408464,7.9492775,-0.917869036
413,17570324,68822512.27,7.24477977,7.837730522,-0.592950752
414,105,57149362.07,2.021189299,7.757011387,-5.735822088
415,25,51954990.88,1.397940009,7.715627273,-6.317687264
416,3028094,6291493.261,6.481169353,6.798753736,-0.317584383
417,294064,55523015.96,5.46844186,7.744473049,-2.276031188
418,51702483,69458668.22,7.7135114,7.841726452,-0.128215052
419,16900000,62546085.15,7.227886705,7.796200132,-0.568313427
420,8538318,61596719.63,6.931372326,7.789557584,-0.858185259
421,47267001,58827393.39,7.674558048,7.769579605,-0.095021557
422,41590886,69482332.21,7.618998172,7.841874387,-0.222876215
423,49620,71112700.98,4.69565676,7.851947174,-3.156290414
424,17380126,86923105.36,7.240052921,7.939135233,-0.699082313
425,22955097,52909395.29,7.360879132,7.723532798,-0.362653666
426,22540359,89423629.55,7.352960829,7.951452293,-0.598491464
427,20000000,34650462,7.301029996,7.53970903,-0.238679034
428,28200000,110000812.5,7.450249108,8.041395893,-0.591146785
429,154864401,119874004.9,8.189951597,8.078725015,0.111226582
430,50236831,50752041.43,7.701022236,7.705453516,-0.00443128
431,263591415,147501878.7,8.420931261,8.168797552,0.25213371
432,22182353,92449336.67,7.346007612,7.965903799,-0.619896187
433,390493908,212508267.8,8.591614263,8.327375831,0.264238432
434,102272727,106065537.1,8.009759836,8.025574296,-0.01581446
435,1600000,78174164.38,6.204119983,7.893063248,-1.688943265
436,17900000,289481373.9,7.252853031,8.461620625,-1.208767594
437,572000000,276724059.8,8.757396029,8.442046921,0.315349108
438,29800000,144135944.8,7.474216264,8.158772299,-0.684556035
439,286214286,157099046.2,8.456691307,8.196173548,0.260517759
440,140767956,108895883.1,8.148503805,8.037011461,0.111492343
441,32101000,111016008.2,7.506518562,8.045385607,-0.538867046
442,13417292,71732570.16,7.127664871,7.855716392,-0.72805152
443,34585416,68765435.04,7.538893004,7.837370195,-0.298477191
444,4137645,39563791.36,6.616753227,7.597297903,-0.980544676
445,1985001,42267869.86,6.29776073,7.626010362,-1.328249632
446,1500000,39194664.71,6.176091259,7.593226954,-1.417135695
447,89456761,88056970.98,7.951613169,7.944763742,0.006849427
448,75000000,104762442.2,7.875061263,8.020205614,-0.145144351
449,5731103,67546058.62,6.758238214,7.829600013,-1.071361799
450,2154540,,6.333354561,#NUM!,#NUM!
451,405000,,5.607455023,#NUM!,#NUM!
452,147298761,122205203.6,8.168199094,8.087089699,0.081109395
453,4505922,30380736.54,6.65378367,7.482598299,-0.828814629
454,165615285,66267817.27,8.219100416,7.821302666,0.39779775
455,4000000,100624319.5,6.602059991,8.002702957,-1.400642965
456,18344729,93174078.94,7.2635113,7.969295108,-0.705783808
457,11833696,70391980.42,7.073120408,7.847523184,-0.774402776
458,62493712,56252754.13,7.795836322,7.75014379,0.045692531
459,20045115,64269365.91,7.302008552,7.808004015,-0.505995463
460,28215453,58946183.54,7.450487027,7.770455692,-0.319968665
